SocialMediaUsageID,UserID,PlatformID,ActivityType,ActivityEngagement
1,1,6,Entertainment,22
2,1,6,Create Content,19
3,1,1,Entertainment,28
4,1,1,Create Content,19
5,1,1,News,28
6,2,3,Social,96
7,2,3,News,12
8,2,6,Entertainment,32
9,2,6,Create Content,15
10,2,1,Entertainment,28
11,2,1,Create Content,38
12,2,1,News,49
13,3,1,Entertainment,73
14,3,1,Create Content,19
15,3,1,News,49
16,3,3,Social,44
17,3,3,News,43
18,4,1,Entertainment,51
19,4,1,Create Content,16
20,4,1,News,20
21,4,4,Social,35
22,4,4,Entertainment,24
23,5,3,Social,31
24,5,3,News,15
25,5,6,Entertainment,55
26,5,6,Create Content,23
27,6,2,Social,97
28,6,2,News,28
29,6,2,E-commerce,24
30,6,4,Social,58
31,6,4,Entertainment,69
32,6,5,Social,62
33,6,5,Create Content,11
34,6,5,E-commerce,7
35,7,5,Social,29
36,7,5,Create Content,33
37,7,5,E-commerce,5
38,7,4,Social,32
39,7,4,Entertainment,36
40,8,4,Social,54
41,8,4,Entertainment,55
42,8,1,Entertainment,39
43,8,1,Create Content,13
44,8,1,News,44
45,8,3,Social,46
46,8,3,News,10
47,9,2,Social,46
48,9,2,News,34
49,9,2,E-commerce,9
50,9,3,Social,60
51,9,3,News,27
52,9,1,Entertainment,38
53,9,1,Create Content,11
54,9,1,News,44
55,10,6,Entertainment,24
56,10,6,Create Content,20
57,10,1,Entertainment,46
58,10,1,Create Content,7
59,10,1,News,21
60,11,3,Social,85
61,11,3,News,16
62,11,4,Social,50
63,11,4,Entertainment,28
64,11,1,Entertainment,70
65,11,1,Create Content,35
66,11,1,News,49
67,12,2,Social,79
68,12,2,News,35
69,12,2,E-commerce,9
70,12,5,Social,99
71,12,5,Create Content,8
72,12,5,E-commerce,6
73,12,6,Entertainment,67
74,12,6,Create Content,35
75,13,3,Social,55
76,13,3,News,13
77,13,4,Social,56
78,13,4,Entertainment,39
79,13,6,Entertainment,56
80,13,6,Create Content,26
81,14,5,Social,33
82,14,5,Create Content,21
83,14,5,E-commerce,10
84,14,6,Entertainment,55
85,14,6,Create Content,13
86,14,1,Entertainment,54
87,14,1,Create Content,33
88,14,1,News,45
89,15,1,Entertainment,56
90,15,1,Create Content,8
91,15,1,News,26
92,15,4,Social,56
93,15,4,Entertainment,35
94,16,6,Entertainment,57
95,16,6,Create Content,33
96,16,3,Social,89
97,16,3,News,40
98,17,6,Entertainment,40
99,17,6,Create Content,34
100,17,1,Entertainment,57
101,17,1,Create Content,17
102,17,1,News,32
103,18,2,Social,27
104,18,2,News,29
105,18,2,E-commerce,17
106,18,1,Entertainment,64
107,18,1,Create Content,5
